Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=400°C, P=1bar)",,400,1,1.00E-07,,8.72E-10,after HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,1.55E-07,,7.97E-10,after HT treatment (figure 9),Tsuru 2004 1,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=300°C),,300,,2.27E-07,,6.05E-10,before HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=400°C),,400,,3.43E-07,,6.05E-10,before HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=500°C),,500,,4.46E-07,,7.01E-10,before HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=300°C),,300,,1.85E-07,,9.49E-10,after HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=400°C),,400,,2.96E-07,,9.35E-10,after HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si,by hydrothermal synthesis (T=500°C),,500,,4.13E-07,,1.05E-09,after HT treatment (figure 7),Tsuru 2006,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,2.93E-07,,6.45E-09,SiZr (9:1) before HT (figure 12),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,1.00E-07,,2.14E-10,SiZr (9:1) after HT (figure 12),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,5.68E-08,,7.05E-10,Si1 (figure 11),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,6.03E-08,,1.87E-10,Si2 (figure 11),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,7.49E-07,7.78E-08,1.00E-07,Si3 (figure 11),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=200°C, P=1bar)",,200,1,1.79E-06,3.26E-07,5.34E-08,Si4 (figure 11),Tsuru 2008,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,2.41E-07,,4.80E-10,CM1 (table 1),Tsuru 2008 2,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,8.93E-08,,3.57E-09,CM2 (table 1),Tsuru 2008 2,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,1.16E-07,,1.37E-09,CM3 (table 1),Tsuru 2008 2,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,1.83E-07,,1.66E-09,CM4 (table 1),Tsuru 2008 2,
sol-gel,sol-gel Si," by hydrothermal synthesis (T=500°C, P=1bar)",,500,1,1.07E-07,,9.32E-10,CM5 (table 1),Tsuru 2008 2,
sol-gel,sol-gel Si," by dip coating (T=500°C, P=4bar)",,500,4,4.74E-08,2.07E-09,,Si1 (table 1),Van Gestel 2010,
sol-gel,sol-gel Si," by dip coating (T=500°C, P=2.5bar)",,500,2.5,2.68E-08,1.43E-09,,Si4 (table 1),Van Gestel 2010,
sol-gel,sol-gel Si," by dip coating (T=500°C, P=2.5bar)",,500,2.5,2.79E-08,2.27E-09,,Si5 (table 1),Van Gestel 2010,
sol-gel,sol-gel Si," by dip coating (T=200°C, P=0.4bar)",,200,0.4,2.86E-06,5.70E-07,,(table 3),Vercauteren 1998,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by hydrothermal synthesis (T=200°C),,200,,5.26E-08,,2.42E-10,(figure 4),Wang 2010,
sol-gel: Si-F,sol-gel Si-F," by dip coating (T=50°C, P=1bar)",,50,1,1.42E-06,2.35E-07,,(table 3),Wei 2008,
sol-gel: Si-F,sol-gel Si-F," by dip coating (T=100°C, P=1bar)",,100,1,1.48E-06,2.35E-07,,(table 3),Wei 2008,
sol-gel: Si-F,sol-gel Si-F," by dip coating (T=150°C, P=1bar)",,150,1,1.55E-06,2.36E-07,,(table 3),Wei 2008,
sol-gel: Si-F,sol-gel Si-F," by dip coating (T=200°C, P=1bar)",,200,1,1.63E-06,2.38E-07,,(table 3),Wei 2008,
sol-gel: Si-F,sol-gel Si-F," by dip coating (T=250°C, P=1bar)",,250,1,1.69E-06,2.39E-07,,(table 3),Wei 2008,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,5.04E-06,6.63E-07,1.70E-07,S9Z1-fresh (figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,5.60E-06,4.73E-07,1.94E-07,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,6.27E-06,3.84E-07,1.94E-07,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,6.79E-06,2.85E-07,2.15E-07,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,1.18E-06,3.66E-08,1.26E-08,S9Z1-after test 1 (figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,1.84E-06,5.38E-08,2.01E-08,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,2.35E-06,4.73E-08,1.93E-08,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,2.89E-06,3.84E-08,2.54E-08,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,4.73E-07,8.44E-09,1.00E-08,S9Z1-after test 2 (figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,8.05E-07,9.00E-09,9.00E-09,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,1.18E-06,7.92E-09,8.24E-09,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,1.56E-06,8.24E-09,9.53E-09,(figure 3),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,3.25E-06,2.45E-07,8.27E-08,S9Z3-fresh (figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,4.37E-06,1.93E-07,9.23E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,5.55E-06,1.84E-07,9.58E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,6.88E-06,1.66E-07,1.07E-07,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,6.19E-07,6.08E-08,9.58E-08,S9Z3-after test 1 (figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,9.46E-07,4.85E-08,8.02E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,1.49E-06,4.06E-08,7.05E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,2.09E-06,3.54E-08,6.27E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,3.29E-07,5.09E-08,9.58E-08,S9Z3-after test 2 (figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,4.85E-07,4.45E-08,8.02E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,7.77E-07,3.72E-08,7.36E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,1.19E-06,3.27E-08,6.39E-08,(figure 4),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,6.77E-07,1.27E-07,1.88E-07,S9Z5-fresh (figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,6.77E-07,1.10E-07,1.70E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,7.43E-07,9.77E-08,1.57E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,8.95E-07,8.60E-08,1.43E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,7.12E-07,1.37E-07,2.09E-07,S9Z5-after test 1 (figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,6.56E-07,1.37E-07,1.84E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,6.56E-07,1.23E-07,1.68E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,6.87E-07,1.02E-07,1.44E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=200°C),,200,,7.44E-07,1.49E-07,2.13E-07,S9Z5-after test 2 (figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=300°C),,300,,6.90E-07,1.18E-07,1.94E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=400°C),,400,,6.51E-07,1.10E-07,1.82E-07,(figure 5),Yoshida  2001,
sol-gel: Si-Zr,sol-gel Si-Zr,(T=500°C),,500,,6.82E-07,1.08E-07,1.69E-07,(figure 5),Yoshida  2001,
sol-gel,sol-gel Si,(T=150°C),,150,,2.22E-07,,1.05E-08,(figure 9),Yoshino 2005,
sol-gel,sol-gel Si,(T=300°C),,300,,3.89E-07,,8.08E-09,(figure 9),Yoshino 2005,
sol-gel,sol-gel Si,(T=400°C),,400,,5.12E-07,,7.98E-09,(figure 9),Yoshino 2005,
sol-gel,sol-gel Si,(T=500°C),,500,,5.55E-07,,7.71E-09,(figure 9),Yoshino 2005,
sol-gel,sol-gel Si,(T=600°C),,600,,7.53E-07,,7.49E-09,(figure 9),Yoshino 2005,
sol-gel,sol-gel Si,(T=300°C),,300,,4.06E-06,,2.85E-07,(figure 10),Yoshino 2005,
sol-gel,sol-gel Si,(T=400°C),,400,,3.94E-06,,2.43E-07,(figure 10),Yoshino 2005,
sol-gel,sol-gel Si,(T=500°C),,500,,3.87E-06,,2.24E-07,(figure 10),Yoshino 2005,
sol-gel,sol-gel Si,(T=600°C),,600,,3.82E-06,,1.94E-07,(figure 10),Yoshino 2005,
sol-gel,sol-gel Si,(T=30°C),,30,,5.17E-06,,1.32E-06,A (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=70°C),,70,,4.55E-06,3.43E-06,9.48E-07,A (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=110°C),,110,,4.09E-06,2.17E-06,7.18E-07,A (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=150°C),,150,,3.83E-06,1.45E-06,5.88E-07,A (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=30°C),,30,,1.56E-06,9.91E-07,5.19E-08,B (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=70°C),,70,,1.60E-06,7.63E-07,4.93E-08,B (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=100°C),,100,,1.66E-06,5.79E-07,4.40E-08,B (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=200°C),,200,,1.79E-06,2.62E-07,4.08E-08,B (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=300°C),,300,,1.93E-06,1.62E-07,3.98E-08,B (figure 4),Yoshioka 2001,
sol-gel,sol-gel Si,(T=50°C),,50,,1.79E-06,1.60E-06,9.70E-08,C (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=100°C),,100,,1.81E-06,1.27E-06,9.32E-08,C (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=200°C),,200,,1.86E-06,6.13E-07,8.47E-08,C (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=300°C),,300,,1.86E-06,3.64E-07,8.25E-08,C (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=50°C),,50,,8.95E-07,6.92E-07,1.93E-08,C' (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=100°C),,100,,8.95E-07,4.18E-07,1.87E-08,C' (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=200°C),,200,,9.32E-07,1.83E-07,1.90E-08,C' (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=300°C),,300,,9.75E-07,1.07E-07,2.02E-08,C' (figure 5),Yoshioka 2001,
sol-gel,sol-gel Si,(T=500°C),,500,,3.23E-07,,1.40E-09,(figure 3),Kanezashi 2010,
