Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=2bar)",,25,2,5.03E-07,2.06E-07,1.00E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=2bar)",,50,2,7.35E-07,2.62E-07,1.30E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=2bar)",,100,2,1.13E-06,3.19E-07,,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=2.5bar)",,25,2.5,4.85E-07,2.01E-07,9.00E-09,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=2.5bar)",,50,2.5,7.21E-07,2.61E-07,1.30E-08,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=25°C, P=3bar)",,25,3,4.72E-07,,9.00E-09,Si400 (table 2),de Vos 1998,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=3bar)",,50,3,7.04E-07,,1.20E-08,Si400 (table 2),de Vos 1998,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=0.5bar)",,100,0.5,2.22E-06,4.84E-07,2.52E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=0.5bar)",,125,0.5,2.27E-06,4.62E-07,2.46E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=150°C, P=0.5bar)",,150,0.5,2.16E-06,4.33E-07,2.43E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=175°C, P=0.5bar)",,175,0.5,2.13E-06,4.21E-07,2.41E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=0.5bar)",,200,0.5,2.06E-06,3.80E-07,2.33E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=225°C, P=0.5bar)",,225,0.5,2.03E-06,3.58E-07,2.28E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=0.5bar)",,250,0.5,2.01E-06,3.29E-07,2.25E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=0.5bar)",,275,0.5,1.96E-06,3.02E-07,2.27E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=300°C, P=0.5bar)",,300,0.5,1.86E-06,2.71E-07,2.11E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=1bar)",,100,1,2.27E-06,5.05E-07,2.75E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=1bar)",,125,1,2.24E-06,4.78E-07,2.68E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=150°C, P=1bar)",,150,1,2.22E-06,4.54E-07,2.61E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=175°C, P=1bar)",,175,1,2.18E-06,4.30E-07,2.62E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=200°C, P=1bar)",,200,1,2.09E-06,4.14E-07,2.55E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=225°C, P=1bar)",,225,1,2.05E-06,3.82E-07,2.48E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=250°C, P=1bar)",,250,1,2.04E-06,3.65E-07,2.44E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=275°C, P=1bar)",,275,1,1.95E-06,3.31E-07,2.40E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=300°C, P=1bar)",,300,1,1.91E-06,2.97E-07,2.34E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=100°C, P=1.5bar)",,100,1.5,2.40E-06,5.15E-07,2.87E-07,MeSi400 (table 2),de Vos 1999,
sol-gel: Carbonised,sol-gel Carbonised," by dip coating (T=125°C, P=1.5bar)",,125,1.5,2.36E-06,4.92E-07,2.80E-07,MeSi400 (table 2),de Vos 1999,
